bs_rep	Class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
234	WS	258272	79974	46743	34221	27472	22125	18171	14999	12922	11208	9608	7951	6934	5954	5150	4582	3888	3650	3723
235	Neutre	283575	86165	49373	36399	28561	23364	19283	16043	13418	11487	10106	8325	7358	6006	5268	4561	4033	3769	3616
235	SW	363324	107419	61967	44968	34545	29001	23438	19778	16503	14520	12048	9883	8416	7259	6275	5441	4816	4393	4165
235	WS	257212	79923	46608	33768	27176	21981	18054	15136	13039	11134	9633	7935	6800	5868	5160	4639	4013	3555	3581
236	Neutre	284028	85860	49339	36378	28590	23103	19203	15977	13410	11627	10170	8371	7211	6087	5130	4561	4098	3643	3572
236	SW	362969	107255	61668	44617	34940	28859	23274	19615	16455	14426	11906	9700	8593	7243	6321	5590	4770	4348	4166
236	WS	258565	80084	46599	33947	27302	21996	17791	15314	13125	11338	9489	7975	6821	5814	5147	4670	4021	3747	3552
237	Neutre	284181	86339	49561	36182	28550	23080	19199	15929	13365	11510	10075	8293	7279	5971	5415	4515	4248	3744	3585
237	SW	362119	108085	62183	44858	34960	28653	23228	19286	16392	14361	12281	9804	8684	6980	6348	5468	4948	4487	4155
237	WS	257494	79889	46509	34176	27084	22202	18121	15171	12946	11217	9659	7934	6898	5983	5203	4640	4007	3448	3642
238	Neutre	284381	85572	49572	36000	28840	23186	19206	15911	13398	11523	10135	8353	7312	5932	5273	4414	4079	3595	3622
238	SW	363395	107607	61835	44646	34995	28491	23140	19655	16490	14344	11906	9890	8555	7143	6330	5451	4859	4386	4276
238	WS	257519	80534	46627	34198	27123	21978	17898	15157	13014	11246	9633	7983	6907	5838	5053	4553	3774	3764	3688
239	Neutre	284406	85305	49818	36150	28733	23520	18955	15926	13542	11543	10157	8327	7234	5876	5172	4466	4003	3570	3646
239	SW	363262	107151	62022	44649	35094	28885	23483	19425	16628	14293	11974	9799	8535	7201	6093	5329	4986	4428	4250
239	WS	257280	80409	46289	34220	27411	22181	17941	15157	12971	11454	9513	7979	6994	5934	5115	4593	3864	3729	3600
240	Neutre	284620	85401	50028	35844	28635	23434	19149	15925	13291	11316	10239	8250	7267	5917	5301	4386	4071	3685	3673
240	SW	362860	107703	61902	44910	34998	28621	23133	19590	16407	14384	12190	9994	8715	6981	6360	5396	5041	4260	4290
240	WS	256956	80302	46752	34130	27056	22185	18002	15223	13126	11187	9575	7846	6954	5949	5096	4625	3921	3710	3578
241	Neutre	283313	85394	49635	36091	28357	23502	18995	16152	13263	11580	10058	8229	7312	6058	5240	4614	4063	3730	3766
241	SW	363577	107748	62010	44823	34678	28449	23263	19373	16484	14410	11985	9920	8402	7271	6473	5493	4875	4598	4270
241	WS	257687	80584	46404	34043	27538	21928	18173	15015	13226	11379	9526	7862	6790	5953	4948	4611	3908	3651	3665
242	Neutre	283533	85871	49821	36591	28447	23176	18992	15887	13316	11637	9991	8133	7322	5962	5145	4538	4142	3688	3593
242	SW	364064	107658	61276	44906	34868	28809	23302	19230	16568	14525	11967	10004	8456	7268	6198	5377	4901	4303	4197
242	WS	257673	80007	46809	34356	27194	21843	17904	15388	13015	11247	9473	7908	6989	5914	5159	4612	3923	3729	3628
243	Neutre	284355	85568	49016	36408	28787	23556	19073	16007	13473	11375	10199	8336	7164	5938	5186	4574	4074	3657	3575
243	SW	362872	107560	62230	44618	35123	28892	23339	19656	16688	14594	11979	9947	8538	7199	6235	5453	4833	4383	4247
243	WS	257252	80280	46567	33835	27167	21955	17896	15271	13035	11206	9416	8036	7055	5787	5120	4664	3989	3642	3639
244	Neutre	284928	86219	49333	36157	28552	23623	19280	16004	13419	11383	10170	8287	7340	5946	5273	4600	4117	3613	3505
244	SW	363055	107462	61910	44351	34933	28433	23278	19162	16352	14645	12043	9998	8480	7098	6212	5477	4924	4333	4360
244	WS	257573	79899	46535	34164	27292	21920	17879	15126	13126	11227	9516	8060	6941	5832	5055	4717	3968	3740	3593
245	Neutre	283610	85992	49651	36328	28637	23055	19190	15910	13504	11414	10165	8441	7340	5843	5222	4644	4022	3690	3606
245	SW	363439	107820	62116	45178	34747	28907	23232	19332	16686	14387	12097	9847	8548	7038	6323	5266	4815	4263	4261
245	WS	257158	80230	46625	34344	27364	21808	17949	15076	12957	11277	9559	7839	6820	5846	5021	4554	3903	3790	3653
246	Neutre	284826	85967	49855	36410	28486	23388	19193	16086	13540	11344	9979	8278	7121	5939	5100	4535	4039	3640	3654
246	SW	363051	107939	61591	44879	34715	28648	23256	19306	16447	14642	12093	9804	8571	7293	6083	5381	4864	4323	4103
