region	localGC	invar_L	invar_GC	segregating_sites_unanchor	pi_sum_unanchor	pi_unanchor	unanchor_L	unanchor_GC	segregating_sites_anchor	pi_sum_anchor	pi_anchor	anchor_L	anchor_GC	total_pi	cds_anchor	cds_anchor_num_winds	cds_total	cds_total_num_winds	class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
C_37	0.303553	118480	35963	4882	1468.3	0.00561932	261295	79313	53434	14862.6	0.00754742	1969225	597771	0.00695228	96408	3811	128928	5141	WS	2627	808	488	361	268	233	190	155	104	117	83	77	78	54	58	46	57	48	56
C_38	0.304557	127670	38883	4345	1314.19	0.00564609	232761	70887	53339	14826	0.00758317	1955122	595449	0.00697034	115072	3775	136597	4978	Neutre	3042	919	477	352	276	218	188	180	138	114	84	71	51	44	33	54	45	35	32
C_38	0.304557	127670	38883	4345	1314.19	0.00564609	232761	70887	53339	14826	0.00758317	1955122	595449	0.00697034	115072	3775	136597	4978	SW	3482	1042	564	462	346	268	239	172	139	144	119	83	64	89	52	52	54	41	47
C_38	0.304557	127670	38883	4345	1314.19	0.00564609	232761	70887	53339	14826	0.00758317	1955122	595449	0.00697034	115072	3775	136597	4978	WS	2738	836	437	347	310	187	176	160	135	113	104	71	63	70	42	34	41	44	35
C_39	0.305535	130150	39765	4092	1244.5	0.00571648	217704	66515	52629	14778.2	0.00758585	1948129	595224	0.00697858	98488	3767	137458	4852	Neutre	2788	908	493	355	301	237	201	168	141	144	106	83	73	74	41	52	38	33	35
C_39	0.305535	130150	39765	4092	1244.5	0.00571648	217704	66515	52629	14778.2	0.00758585	1948129	595224	0.00697858	98488	3767	137458	4852	SW	3438	1053	573	466	320	300	224	186	167	146	134	117	74	71	72	41	45	45	45
C_39	0.305535	130150	39765	4092	1244.5	0.00571648	217704	66515	52629	14778.2	0.00758585	1948129	595224	0.00697858	98488	3767	137458	4852	WS	2642	841	463	362	290	220	173	162	160	121	119	96	69	51	44	44	45	34	36
C_40	0.306524	127617	39119	4445	1341.17	0.005988	223977	68645	52643	14762.2	0.00756237	1952056	598360	0.00699037	122946	3804	141638	4916	Neutre	2807	845	492	338	283	231	209	181	129	98	84	87	80	60	55	49	50	45	50
C_40	0.306524	127617	39119	4445	1341.17	0.005988	223977	68645	52643	14762.2	0.00756237	1952056	598360	0.00699037	122946	3804	141638	4916	SW	3566	1004	662	412	381	287	246	180	145	153	115	82	76	59	75	42	47	51	39
C_40	0.306524	127617	39119	4445	1341.17	0.005988	223977	68645	52643	14762.2	0.00756237	1952056	598360	0.00699037	122946	3804	141638	4916	WS	2670	804	516	329	250	235	208	161	143	117	105	78	76	65	55	37	44	41	26
